alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.072424054,,0.15768059035222587,,2.4582725,2.553757,-0.6854595,242.6,0.0,38.25331121945,9.406480000000001e-05,0.00028219439999999996,0.00028219439999999996,16.39996,1.0,21.256548,,,59392
0.06724571,,0.17785937546262823,,2.093556,2.1652644,-0.7453927,248.1,0.0,44.12691105227806,9.386670000000001e-05,0.0002816001,0.0002816001,16.042454,1.0,21.08783,,,61440
0.062232923,,0.15864340001467764,,1.657061,1.7149518,-0.7596717,250.0,0.0,39.66085000366941,9.36667e-05,0.0002810001,0.0002810001,15.309013,1.0,20.728552,,,63488
0.057513077,,0.1564999300817285,,2.1538217,2.1896431,-0.812456,250.0,0.0,39.12498252043213,9.346670000000001e-05,0.00028040009999999997,0.00028040009999999997,17.742065,1.0,20.751554,,,65536
0.05335327,,0.14406065096526846,,3.3320203,3.3735185,-0.7965995,250.0,0.0,36.01516274131711,9.32667e-05,0.0002798001,0.0002798001,15.075617,1.0,20.380611,,,67584
0.049351826,,0.11747227455508638,,1.8067446,1.8978698,-0.82778883,250.0,0.0,29.368068638771597,9.304170000000001e-05,0.0002791251,0.0002791251,14.7736,1.0,20.126316,,,69632
0.045898337,,0.15549741949432427,,2.1621237,2.255937,-0.83695537,241.0,0.0,37.47487809813215,9.28507e-05,0.0002785521,0.0002785521,15.963173,1.0,19.944902,,,71680
0.04332446,,0.1198671194891364,,2.554584,2.6698418,-0.8977109,250.0,0.0,29.9667798722841,9.26507e-05,0.00027795209999999996,0.00027795209999999996,14.099637,1.0,19.736956,,,73728
0.04158525,,0.08777183010125465,,2.2285368,2.3000271,-0.95106983,250.0,0.0,21.942957525313663,9.24257e-05,0.00027727709999999996,0.00027727709999999996,12.619917,1.0,19.586407,,,75776
0.04112891,,0.12044908647439029,,2.791993,2.8878314,-1.0121307,250.0,0.0,30.11227161859757,9.22257e-05,0.0002766771,0.0002766771,13.84182,1.0,19.08201,,,77824
0.040818132,,0.1222195415410143,,2.4569314,2.5313148,-0.96970284,250.0,0.0,30.554885385253577,9.202570000000001e-05,0.0002760771,0.0002760771,14.589148,1.0,18.490505,,,79872
0.039708506,,0.12286356353284782,,2.1743016,2.218639,-0.9878088,250.0,0.0,30.715890883211955,9.18257e-05,0.00027547709999999997,0.00027547709999999997,12.986661,1.0,18.470335,,,81920
0.03905434,,0.16686897329675354,,1.877552,1.9935629,-1.0163592,250.0,0.0,41.71724332418839,9.16257e-05,0.00027487709999999996,0.00027487709999999996,12.589762,1.0,18.149225,,,83968
