alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.07257668,,0.16771007563179985,,21.3853,21.087322,-0.76265395,250.0,0.0,41.92751890794996,9.408330000000001e-05,0.00028224989999999997,0.00028224989999999997,3.18185,1.0,0.35412946,,,59392
0.0663654,,0.10837223017849729,,22.208878,21.947409,-0.75100553,250.0,0.0,27.093057544624322,9.38583e-05,0.00028157489999999997,0.00028157489999999997,2.8377507,1.0,0.334994,,,61440
0.061167795,,0.17620186816448632,,23.655867,23.324913,-0.7670026,250.0,0.0,44.05046704112158,9.36583e-05,0.00028097489999999995,0.00028097489999999995,2.49407,1.0,0.36239538,,,63488
0.056263674,,0.16386733352939306,,18.60593,18.379143,-0.7486404,250.0,0.0,40.96683338234826,9.345829999999999e-05,0.00028037489999999994,0.00028037489999999994,2.5040898,1.0,0.30405766,,,65536
0.05220021,,0.13364620185611886,,19.873432,19.670906,-0.8537322,250.0,0.0,33.411550464029716,9.32583e-05,0.0002797749,0.0002797749,2.6795692,1.0,0.2999559,,,67584
0.04910765,,0.11271963498999225,,19.61636,19.406588,-0.8822478,250.0,0.0,28.179908747498065,9.30583e-05,0.00027917489999999996,0.00027917489999999996,3.0671003,1.0,0.29925495,,,69632
0.045424163,,0.1249089378403407,,18.838966,18.624645,-0.87475777,250.0,0.0,31.227234460085175,9.28333e-05,0.00027849989999999996,0.00027849989999999996,2.4296293,1.0,0.2969454,,,71680
0.042263523,,0.12083616459851947,,19.554234,19.305672,-0.8498713,250.0,0.0,30.209041149629865,9.26333e-05,0.00027789989999999994,0.00027789989999999994,2.3998163,1.0,0.30529863,,,73728
0.038654942,,0.09866221811645505,,17.122633,16.908697,-0.8104501,250.0,0.0,24.665554529113763,9.24333e-05,0.0002772999,0.0002772999,1.9409876,1.0,0.27104995,,,75776
0.035209186,,0.13365259923888104,,15.52355,15.328592,-0.7868376,250.0,0.0,33.41314980972026,9.22333e-05,0.00027669989999999997,0.00027669989999999997,2.2750611,1.0,0.27373806,,,77824
0.03255135,,0.14753198183473992,,17.402077,17.219975,-0.8365161,250.0,0.0,36.88299545868498,9.20333e-05,0.00027609989999999995,0.00027609989999999995,2.0244944,1.0,0.27182218,,,79872
0.03008097,,0.14752602979649787,,17.368118,17.118092,-0.8299974,250.0,0.0,36.88150744912447,9.18083e-05,0.00027542489999999995,0.00027542489999999995,2.0086596,1.0,0.28158435,,,81920
0.028030952,,0.15612124841922795,,15.099226,14.951078,-0.8309743,250.0,0.0,39.03031210480699,9.16083e-05,0.0002748249,0.0002748249,1.8311657,1.0,0.23847243,,,83968
0.02629283,,0.1622159381221706,,15.388601,15.213458,-0.889698,250.0,0.0,40.55398453054265,9.14083e-05,0.0002742249,0.0002742249,1.9209716,1.0,0.23974714,,,86016
0.024814347,,0.12906660588257932,,14.238113,14.140605,-0.87755555,250.0,0.0,32.26665147064483,9.12083e-05,0.00027362489999999996,0.00027362489999999996,1.3807384,1.0,0.22353144,,,88064
0.023533376,,0.1327603171374788,,15.814722,15.645376,-0.91581666,250.0,0.0,33.1900792843697,9.10083e-05,0.00027302489999999995,0.00027302489999999995,1.124739,1.0,0.25694466,,,90112
0.02224526,,0.21640929932158082,,14.746771,14.559212,-0.94859946,246.1,0.0,53.25832856304104,9.078720000000001e-05,0.0002723616,0.0002723616,1.4130156,1.0,0.2559747,,,92160
0.021461511,,0.10834504187991231,,13.9496,13.763608,-0.9759458,250.0,0.0,27.08626046997808,9.05872e-05,0.00027176159999999996,0.00027176159999999996,2.3825483,1.0,0.23639834,,,94208
0.02119324,,0.22417917481955163,,14.559308,14.402166,-0.9552425,250.0,0.0,56.04479370488791,9.03872e-05,0.0002711616,0.0002711616,2.338286,1.0,0.2338821,,,96256
0.021286163,,0.22306698946009518,,13.887596,13.72245,-0.9685675,250.0,0.0,55.7667473650238,9.018720000000001e-05,0.0002705616,0.0002705616,1.2899735,1.0,0.24647927,,,98304
0.021105347,,0.13440676540372143,,14.618075,14.4716215,-1.0050486,250.0,0.0,33.60169135093036,8.99872e-05,0.0002699616,0.0002699616,1.3602419,1.0,0.25533897,,,100352
0.020959992,,0.08639077807158535,,14.912977,14.715857,-1.0167344,250.0,0.0,21.597694517896336,8.976220000000001e-05,0.00026928659999999997,0.00026928659999999997,1.1255468,1.0,0.25728658,,,102400
